Sample	TP53	EGFR	APOE	TNF	IL6	VEGFA	TGFB1	MTHFR	HIF1A	ERBB2	ESR1	IL10	APP	STAT3	BRCA1	ACE	KRAS	BDNF	BRAF	CD274	VDR	MMP9	CRP	AR	ADIPOQ	AKT1	ABCB1	NFKB1	IL1B	CTNNB1	HLA-DRB1	PTEN	CDKN2A	TLR4	SNCA	PTGS2	CFTR	NOS3	MAPT	TERT	env	MYC	CXCL8	COMT	MTOR	PPARG	SLC6A4	CDH1	IGF1	HLA-B	LEP	BCL2	BRCA2	CXCR4	IFNG	NFE2L2	JAK2	MDM2	GSTM1	IL17A	MMP2	SIRT1	ACE2	CCND1	MIR21	CCL2	SERPINE1	MAPK1	PIK3CA	CD4	HMGB1	PON1	CCR5	SOD1	CDKN1A	NPPB	CTLA4	CD44	BIRC5	TLR2	ATM	NOTCH1	EZH2	GSTT1	GSTP1	MET	CXCL12	HLA-A	F2	DRD2	NR3C1	FOXP3	YAP1	PDCD1	SPP1	CYP2C19	NLRP3	HMOX1	F5	KIT	IL18	HLA-DQB1	LRRK2	ICAM1	CYP2D6	RELA	HFE	PARP1	XRCC1	GSK3B	ESR2	ADRB2	RB1	HLA-G	FTO	FAS	LGALS3	IL4	VWF	IGF1R	AGER	CAV1	MAPK14	APOA1	RET	AGT	ITGB1	TARDBP	MUC1	SRC	GHRL	INS	LCN2	GJB2	MLH1	NOD2	PRNP	ITGB3	SP1	CASP3	ABCG2	IDH1	RAC1	MIR146A	EDN1	LMNA	MBL2	SOD2	APC	CYP1A1	HBB	TP63	APOB	CYP2C9	KDR	MMP1	SLC6A3	CDKN1B	MIF	JUN	MAPK3	CFH	AGTR1	TNFSF10	FMR1	MIR155	ALK	CYP3A4	MGMT	PRKN	FLT3	PTK2	STAT1	MKI67	LDLR	NPM1	BAX	IL1RN	RHOA	EP300	PCSK9	PSEN1	CYP19A1	SCN5A	RUNX1	TNFRSF11B	TTR	HLA-C	WT1	UGT1A1	SERPINA1	ABCA1	HSP90AA1	VHL	TCF7L2	CD14	HGF	ALDH2	COL1A1	F8	MECP2	KCNH2	FGF2	NOS2	HTT	FN1	TLR9	HBB-LCR	FGF23	HSPA5	IL1A	GJA1	AHR	CST3	PTPN11	ALB	LPL	PPARGC1A	HDAC1	GDF15	CASP8	HBA1	E2F1	PGR	FLT1	UBC	IFNL3	AURKA	SLC2A1	ERCC2	SOX2	CETP	CXCL10	IL2	HTR2A	CDK1	DRD4	IL33	SMAD4	NAT2	MIR34A	ABL1	MSH2	PLK1	CCL5	PRKCA	RETN	MAPK8	RAD51	HRAS	FOXO3	MPO	LEPR	MCL1	FGFR2	CYP3A5	MALAT1	SQSTM1	EGF	SMAD3	MMP3	FOXO1	IGF2	OPRM1	TLR3	MAOA	ERCC1	BSG	C3	F3	IGFBP3	PROM1	CHI3L1	APEX1	DNMT1	FGFR1	TWIST1	INSR	BMP2	NAMPT	TNFRSF1A	DPP4	TNFSF11	TIMP1	NF1	OGG1	POU5F1	DMD	FGFR3	FOXM1	KCNQ1	CHEK2	LPA	PLAUR	HSPB1	C9orf72	CREBBP	GNAS	IL13	ADAMTS13	TP73	CLU	GBA1	VIM	PTPN22	DICER1	CCN2	HLA-DQA1	MIR145	FASLG	P2RX7	CALCA	CASR	BCL2L1	CSNK2A1	KMT2A	MEFV	GRN	PTX3	CYP2E1	CDK2	KL	FBN1	PKM	CYP17A1	HSPA4	RUNX2	CREB1	TYMS	NRG1	G6PD	IDO1	S100A9	NQO1	HOTAIR	CNR1	BECN1	CALR	MICA	CD40	CD40LG	SHH	FUS	ZEB1	H19	CD36	PPARA	STK11	THBS1	SNAI1	OXTR	BMI1	CDC42	PIK3R1	CYP1B1	MMP14	ANXA2	ELAVL1	DNMT3A	S100B	GRB2	NOTCH3	FLG	TGM2	TNFSF13B	IL2RA	ENG	HAMP	PRKDC	EPAS1	PRKCD	NRAS	DKK1	IRS1	XIAP	APOBEC3G	HNF4A	TRAF6	PNPLA3	RIGI	ANGPT2	MC4R	KLK3	AMH	VCAM1	SOX9	LGALS1	EPO	IL12B	TGFBR2	TOP2A	PLAU	HNF1A	TRPV1	YBX1	MYD88	ITGAV	HP	CEBPA	RASSF1	MYCN	SMARCA4	IL15	F7	CBL	EZR	HAVCR2	TNNT2	PDGFRA	PML	FCGR2A	HSPA1A	EGR1	VCP	SCN1A	HMGA2	NFKBIA	KLF4	MMP7	APOA5	TNFRSF1B	TNFAIP3	GH1	GATA3	RAF1	SYK	SOCS3	PRKAA1	B2M	CHEK1	POSTN	TGFBR1	CYP21A2	ATP7B	PARK7	ITGB2	CYP1A2	STIM1	PDGFRB	PRKACA	PIN1	PINK1	FCGR3A	TSHR	ORF1ab	CDK4	LTA	ATR	SMAD2	VEGFC	NEAT1	ERBB3	ADAM17	MYH9	WNT5A	IL6R	ADM	RBP4	FBXW7	BMP4	FNDC5	PAX6	RUNX3	HDAC2	AFP	CCR2	H2AX	SDC1	TET2	FYN	HPSE	GC	LRP1	MIR122	PPIA	SLCO1B1	DNMT3B	STING1	SMARCB1	BCL2L11	BACE1	SKP2	HSPD1	IL22	VKORC1	PAH	MIR126	PAK1	ADORA2A	FKBP5	TTN	CAMP	TIMP2	NBN	IAPP	TSC2	PROC	GNB3	FLNA	MC1R	ERG	KEAP1	SHBG	ABCC1	APOC3	PLG	PGF	ADAR	XRCC3	TNNI3	NCAM1	CD209	YY1	SELE	BAP1	AURKB	SELP	CACNA1C	ALDH1A1	BRD4	IL21	SPARC	SOCS1	TFRC	KCNJ11	ROCK1	CA9	LTF	PLA2G7	CEBPB	KLRK1	GLI1	ABCA4	HTR1A	MUC16	KDM1A	YWHAZ	TREM2	AQP4	FASN	CDX2	IFNB1	CAT	ANXA1	FGB	UCP2	IDH2	APOL1	EPCAM	EIF4E	IKBKB	COL2A1	FSHR	SUMO1	IL23R	ARID1A	F2RL1	AVP	RYR1	POLG	EPHA2	XPO1	TXN	MIR29A	Label
SAMPLE1	12	2670	77	0	0	0	507	31	600	549	1681	1258	164	460	1286	10	639	55	733	339	2509	609	517	591	0	444	63	416	934	421	91	0	4	36	1639	684	0	590	1510	795	141	98	911	2	5	122	111002	1	17474	1	4307	336	5889	6	6	369	456	289	342	16	4	104	185	204	3732	4137	9435	810	256	25	10	220	36	10	2004	3	694	0	13	6324	187	4746	281	10	5	0	7	591	12	0	612	419	13	21	34	41	112	2280	3953	0	0	3	28	1	0	6	711	3	6692	1684	204	925	2944	1108	1316	3085	2288	77	2970	17	0	0	308	4	370	645	63	82	0	6	0	0	0	0	195	377	0	1262	3309	28	1035	15	1755	1441	449	661	16252	2	460	433	284	471	0	69	2	590	5	751	581	757	136	2	147	313	103	231	3097	1445	15	303	15	0	1842	0	0	5	0	1	2622	0	0	1280	25	1	6	1132	1329	144	1145	54	0	0	0	3	365	4	97	253	2463	35	466	2447	72	409	0	4755	2674	607	367	1520	3873	800	4553	0	3341	226	15	3903	119	7	35	769	347	83	2643	0	41	484	613	2522	2747	1562	6	6	9786	10	39	0	7	0	0	1	0	0	0	0	0	3	0	1334	329	0	1007	225	9	59	0	279	3	0	1	1	4454	8	229	1141	2260	892	1	3867	987	651	16	451	2995	89	77	6523	939	117	1	1695	1317	2194	1261	141	1472	10777	0	1447	384	0	48	129	1460	1665	36	2473	4005	461	499	131	155	4	3	10	10	29	39	3462	0	151	83	238	5	129	0	322	76	12	989	0	13	11	622	512	30	1648	540	14291	4885	0	290	1489	14	11	13	5	79	29	603	17	35	1492	4164	3453	7	8	4945	7	1	1773	30	1540	673	540	1520	808	89	442	208	33	122	1604	0	4569	24	879	889	610	5	1016	696	1144	185	46	2331	6061	6	656	532	0	27	14	104	19	2	22	41392	3	4787	88	4952	45	30	13	160	2	375	305	47	652	208	129	116	0	65	171	50	2161	889	3275	39	1242	5009	135	429	7	58	11	1784	100	2	284	0	4	12	9	41	3	1	335	0	371	1117	10	1595	393	160	259	15	365	2042	0	277	50	1	0	0	2	159	0	84	287	4	1004	70	469	57	2158	470	28384	38	527	2	1842	73	70	327	2367	229	3	8127	5602	0	7321	587	714	3	336	438	106	2476	3129	883	38	46	61	348	511	583	92	35	2	2	29	17	7	46	221	3	9	11	2	179	93	2589	0	12	3	6	1	797	3	734	292	49	1	114	97	60	4875	858	2420	48	497	0	795	307	7	102	0	60	3	37	3	76	2	137	0	92	147	59	11	0	79	1	229	165	57	248	8	251	512	134	7	9	10	20	0	136	6737	2804	3176	0
SAMPLE2	1	2432	129	0	4	0	598	51	592	644	2546	976	173	666	1269	20	756	62	789	104	3161	768	590	703	0	377	66	460	1092	376	153	3	10	37	1771	1048	0	784	2213	1204	205	147	1344	3	8	109	137487	0	20370	1	4958	497	9152	7	10	429	581	391	294	34	1	116	193	211	5793	6112	13061	894	61	54	21	232	38	19	2246	7	676	0	0	8505	216	6017	397	2	5	9	18	756	23	0	634	474	13	12	37	34	235	2477	5340	0	7	0	36	0	0	8	520	1	8398	2211	241	1521	4478	1326	1611	3968	3358	143	3119	0	1	3	284	6	471	936	56	137	0	3	0	0	0	0	219	520	0	2299	3655	37	1423	30	2207	1921	559	707	28399	1	545	516	326	742	0	106	7	761	0	970	683	786	132	8	99	287	123	364	3825	1732	24	565	11	0	2553	0	0	1	2	4	4269	0	2	1535	23	10	1	2503	1624	129	1078	39	0	0	0	1	434	2	358	263	5010	23	1370	4045	116	371	0	6599	3185	656	417	1974	3383	1131	6544	4	3712	356	10	5432	70	7	40	1064	365	29	3886	0	81	627	758	4731	3302	2157	72	2	12145	0	47	0	12	0	0	3	0	7	0	0	8	0	1	1945	382	7	1339	158	3	91	2	534	6	0	0	0	6528	17	345	1332	2857	1468	11	6043	1241	980	3	591	3311	305	55	9256	1838	151	0	2413	1581	2636	1652	278	1743	15577	0	1433	571	0	37	181	2101	2378	36	2504	6055	614	686	315	235	0	0	17	9	32	70	5702	0	128	103	296	2	203	0	444	121	0	1783	0	17	20	958	615	58	2238	583	17804	6687	0	334	1770	25	4	3	17	53	54	709	12	64	1710	4833	5477	12	4	5079	7	4	2223	53	1852	873	638	2330	1075	145	725	349	64	193	3003	0	7733	25	1002	1412	957	1	1420	890	1517	174	99	2627	7680	10	875	843	0	70	5	96	25	0	16	65540	0	8256	81	7269	34	13	78	193	0	506	399	61	791	306	339	68	1	36	205	26	3026	1202	7314	117	1936	8430	222	507	60	92	9	1892	121	4	314	0	0	3	11	24	2	0	606	9	490	1819	49	2234	463	256	352	15	505	3097	0	289	50	16	7	0	3	389	1	153	206	0	970	81	503	63	3158	559	57268	27	925	0	4871	86	95	576	3221	373	0	10869	7564	4	11118	682	767	0	499	607	202	4060	4165	1183	53	159	77	312	669	694	155	8	17	14	32	44	11	53	115	4	3	21	11	210	245	5115	1	9	0	3	12	1099	0	1067	354	48	8	109	88	124	6198	1026	3162	66	581	1	3239	533	20	130	1	201	4	68	2	48	19	183	3	103	198	151	28	24	75	9	259	293	86	442	10	361	584	223	0	2	7	18	12	180	7942	4510	4184	1
SAMPLE3	10	781	87	0	0	6	807	68	770	449	1639	979	155	405	1403	15	721	1	681	100	3438	731	454	403	2	352	95	350	1283	355	107	2	9	98	1649	3032	0	674	1754	811	246	133	612	1	7	129	165509	5	21001	9	4729	327	6715	2	1	447	505	300	295	25	0	74	213	278	5177	4919	20412	807	17	40	4	194	21	19	2903	4	918	0	1	5990	330	3796	262	6	12	7	7	497	12	0	474	983	9	10	52	19	289	1882	5158	2	0	9	23	0	0	18	623	0	8397	2488	214	1008	2731	1029	2047	3095	2888	80	2644	1	3	2	263	13	310	582	66	134	0	1	0	0	4	0	256	594	4	2622	3158	8	1048	26	1929	1340	558	536	25425	3	421	684	1092	864	7	88	10	739	5	779	576	485	178	14	81	273	162	411	3449	1190	0	165	17	0	1523	0	0	7	0	14	3305	0	0	1390	12	14	4	1539	778	140	495	34	0	0	0	2	201	6	149	189	1696	28	805	6523	87	375	0	5717	4562	472	692	2407	3536	847	4841	2	4883	189	9	3846	135	5	24	767	227	13	2723	0	72	609	611	3481	2502	2116	9	4	13679	1	38	0	7	0	0	0	1	3	0	0	3	1	2	2647	397	0	1956	277	2	26	5	411	10	0	6	2	5379	22	193	1000	2582	706	1	4813	1567	716	17	595	3619	74	81	8433	1668	417	2	2148	1432	2549	1324	308	2041	12151	0	890	376	0	56	182	1657	1686	33	3251	5964	748	687	250	259	0	8	8	9	13	87	4906	0	290	114	495	2	125	0	354	40	4	1646	1	12	18	1030	454	398	1851	311	11326	7197	3	387	1471	5	13	1	4	49	95	961	6	20	1940	4411	4388	12	3	4939	5	1	1831	50	1648	666	763	1776	868	126	567	268	32	158	2153	1	6808	8	730	1219	741	2	1355	871	858	126	77	1993	5670	4	526	660	0	61	1	81	32	4	21	77430	0	8778	74	2194	34	26	21	373	0	236	367	39	628	310	411	83	1	56	113	62	1940	574	1589	144	1680	5283	114	359	17	52	14	1735	83	2	120	0	2	9	8	48	8	0	1163	5	323	1752	25	3205	209	170	326	22	906	780	0	290	107	1	7	2	0	319	2	92	249	3	1317	29	432	54	2251	427	14350	45	847	0	2549	81	25	354	1988	488	0	12033	8433	3	4568	703	2411	0	287	417	159	1727	2846	1418	59	55	49	246	631	457	3888	87	88	34	33	27	42	143	528	13	0	6	10	121	268	4395	7	15	9	1	23	1173	8	681	223	42	11	167	104	137	5794	957	3126	73	543	9	1403	333	3	68	0	78	11	55	0	51	18	341	7	70	55	597	17	9	52	4	183	131	97	145	4	208	421	177	0	3	6	20	2	240	7151	4078	5058	1
SAMPLE4	12	2381	98	0	0	4	607	15	1142	378	1112	630	151	518	1225	14	544	8	449	36	1841	606	506	481	2	440	119	408	799	371	86	0	6	228	1272	2012	0	631	872	2036	157	503	191	0	1	171	106902	0	17301	2	3711	365	4328	11	19	391	316	329	320	9	12	71	144	256	2569	3522	13696	977	22	46	16	139	31	4	1744	0	699	0	0	9111	306	4850	302	13	5	0	0	700	3	0	525	249	0	24	15	3	112	2608	4289	0	0	0	5	0	0	14	406	1	5904	1220	206	1061	5699	850	1519	5162	2083	126	3089	0	6	0	232	19	303	735	62	92	0	2	0	0	0	0	249	338	0	1034	3156	34	894	7	1112	1694	613	702	176452	16	490	390	191	182	1	112	12	295	0	760	478	628	108	17	78	171	104	319	1518	844	2	173	4	0	534	0	0	0	5	0	2138	0	0	3608	11	3	0	692	1017	139	1563	21	0	0	0	0	328	0	73	193	12027	29	1588	1518	96	251	0	4847	2650	323	515	1404	3801	979	4014	7	2532	65	21	2983	109	11	46	440	339	17	2217	0	107	561	717	8845	4007	1564	25	0	6848	12	4	0	13	0	0	0	0	0	0	0	0	30	0	1978	474	3	976	208	188	139	0	583	0	0	0	0	2327	12	81	1261	2618	1028	2	6666	739	763	13	347	3173	480	98	5848	783	118	3	1264	963	1597	1639	315	1814	9780	0	1325	504	0	77	91	1278	1342	15	1678	2958	358	402	140	153	0	0	2	9	62	81	2677	0	114	45	97	5	77	0	529	27	2	899	0	9	28	472	482	66	3784	464	12346	4502	0	262	1692	24	8	2	11	28	198	569	2	14	1495	4110	3508	6	7	3631	0	0	1848	45	1984	635	788	2764	810	90	542	306	29	139	1157	0	3201	15	619	953	497	2	874	471	1069	95	63	1879	5659	3	823	530	0	25	7	104	10	0	10	49681	0	3878	37	4060	17	48	10	135	0	458	249	59	598	273	214	112	0	37	158	73	2937	420	10466	112	736	2741	248	456	57	20	7	1835	79	0	308	0	0	5	10	45	2	0	582	0	486	964	15	2144	382	246	345	6	451	3134	4	305	36	18	11	0	0	244	0	60	265	5	1264	20	669	35	1977	487	90560	29	591	0	14785	82	61	333	2572	459	0	6113	5065	1	19785	341	1403	0	269	457	163	4470	3769	790	26	136	61	212	418	496	1329	25	85	27	33	13	12	56	200	5	1	48	0	184	216	1858	0	7	0	3	14	688	5	967	305	47	18	106	80	49	3403	894	1820	74	460	0	11614	1033	21	14	28	107	7	40	0	33	4	143	1	78	12	86	14	0	69	4	198	231	49	124	22	201	503	142	0	3	10	37	0	140	7561	2399	4409	0
SAMPLE5	4	2622	81	0	0	1	519	38	458	596	2665	889	100	426	1162	8	556	26	553	39	2440	667	490	445	7	420	57	456	883	367	109	0	13	6	1371	889	0	573	1934	567	174	144	1116	0	4	76	107165	6	15937	0	4138	330	7796	3	10	336	365	283	226	10	3	135	134	176	4383	4401	11211	1034	11	34	5	158	26	10	1634	7	393	2	7	5535	250	4524	290	3	5	0	4	516	8	1	570	180	2	17	25	50	71	2080	4169	4	0	5	26	0	0	2	290	0	7137	1677	154	1045	1998	916	1369	2249	2584	135	2668	1	1	3	215	23	355	596	52	119	2	8	0	0	12	0	175	358	4	1597	3052	12	1115	10	1759	1507	432	611	4671	21	671	421	234	409	4	56	0	514	5	831	364	543	143	23	99	224	114	273	3193	1345	7	427	5	5	2527	3	2	0	1	2	2850	6	6	870	13	1	3	1763	1471	99	940	35	0	0	0	2	454	4	198	153	1362	14	973	4463	104	330	0	3592	1998	394	285	1002	2828	876	5350	4	2888	299	10	4484	70	2	69	780	386	23	2806	9	34	467	624	1825	3050	1495	11	11	9688	1	20	0	9	4	0	0	0	0	0	0	18	0	2	1464	312	6	793	94	67	18	1	423	1	0	8	1	4413	15	213	950	2154	817	6	3894	1007	589	8	465	2293	151	83	6160	960	114	7	1565	1194	2421	1143	150	1398	11941	0	1216	379	0	27	145	1728	1795	26	2261	4759	392	493	122	171	0	9	15	14	19	88	4284	0	91	55	138	0	108	0	258	29	0	1411	2	13	6	598	409	26	1672	457	13624	6047	0	290	1212	5	3	11	12	34	24	420	12	30	1415	4924	3984	8	7	2984	12	4	1739	47	1407	618	545	1446	813	124	412	204	36	161	1986	4	6114	23	810	1165	613	12	1240	691	1067	154	39	2022	6027	12	635	594	0	31	0	107	27	9	19	47966	0	5494	83	2944	20	6	26	156	0	234	257	67	684	261	196	30	0	21	134	25	2383	708	1844	68	1034	5537	256	351	76	42	11	1533	124	6	279	0	5	16	4	27	12	0	504	3	319	1354	20	1481	694	238	269	16	237	1078	1	207	64	3	7	2	3	237	0	96	111	5	859	76	389	50	2156	503	12668	16	490	0	988	87	46	366	2355	243	9	8607	5562	2	3832	555	750	8	331	425	120	2064	3305	1017	64	66	43	380	381	488	241	10	4	3	18	16	4	37	167	2	4	10	4	141	125	3443	3	13	7	12	8	1084	5	788	271	22	20	107	68	48	4998	1018	2005	59	460	1	394	217	21	81	3	196	6	32	0	51	8	156	10	50	102	205	56	5	57	0	204	156	51	261	1	183	468	182	0	2	2	13	0	285	6594	3169	3469	0
SAMPLE6	12	3273	86	0	1	6	496	23	516	688	2557	784	129	449	1081	13	606	3	514	77	2725	686	464	418	7	411	102	293	675	342	91	3	12	82	1386	1144	1	562	2305	909	166	184	1217	11	0	56	125831	1	18764	14	3800	284	9379	5	6	362	419	294	296	6	4	92	146	141	5119	5397	10925	686	18	35	0	180	19	22	1913	15	509	0	4	5989	216	4178	357	1	7	1	18	471	31	1	476	667	3	14	36	29	74	1699	3861	5	2	4	45	0	0	6	501	1	7274	1532	158	919	3277	884	1390	2829	2461	82	2344	0	0	3	281	15	246	702	56	121	0	8	0	4	0	0	158	325	3	1841	2928	33	977	12	1674	1378	369	600	47881	16	592	379	166	374	0	100	0	575	0	724	467	472	107	14	89	265	101	392	3498	1124	7	366	16	0	4215	0	0	2	12	0	2864	0	0	1252	4	3	6	1460	1368	82	915	17	0	0	0	0	335	4	166	111	3565	46	1102	3933	97	291	0	3638	2286	942	421	1553	2863	902	5344	11	3255	205	8	4130	67	4	23	769	300	32	2834	0	22	602	511	2625	2493	1487	45	0	10125	1	54	0	21	3	0	0	0	2	0	0	7	8	0	1917	236	0	1131	156	2	53	2	445	2	1	9	1	7318	34	196	819	2009	858	10	4520	1086	559	7	577	2683	230	57	7733	1031	117	2	2096	1371	2185	1162	325	1352	11506	2	1121	293	1	28	155	1660	1499	35	1996	4835	506	472	214	178	0	1	18	21	11	46	5688	2	75	55	166	5	201	0	315	52	2	1596	3	3	9	539	367	17	1715	442	12696	4865	0	316	1162	1	5	11	7	39	37	482	5	41	1395	4774	3909	12	9	3783	9	5	1793	32	1617	563	600	1509	789	70	481	211	44	99	2118	0	5797	5	1092	1169	735	6	1165	768	1128	91	92	2406	5675	7	641	465	0	57	9	50	31	4	45	50035	3	6164	61	4250	10	16	2	166	0	288	182	30	551	249	330	74	9	38	149	28	2061	1217	4533	86	1537	8771	144	313	25	17	4	1713	67	2	278	1	0	10	6	13	2	2	479	0	288	1315	25	1830	279	172	295	11	394	1432	9	231	52	20	13	0	0	341	0	104	160	2	744	142	405	49	2469	467	16115	29	499	0	2294	81	90	393	2348	209	7	11196	5699	0	13164	686	788	3	454	494	167	2237	3336	1005	22	67	36	294	575	485	159	19	6	0	29	25	27	54	117	5	4	24	2	254	129	3969	13	21	1	0	10	1171	2	795	268	38	10	135	125	20	4896	796	2281	65	530	0	1327	427	11	192	1	100	3	68	3	48	24	151	4	89	78	256	31	5	43	7	143	153	60	102	6	200	457	160	0	10	1	18	0	330	6012	2890	4520	1
SAMPLE7	7	3969	124	9	0	0	630	42	538	735	3482	1299	202	486	1237	31	663	7	453	45	3324	739	626	428	6	511	179	396	816	373	116	0	4	33	1627	1300	0	663	2299	1084	242	274	979	9	7	104	148569	0	20966	11	5500	333	9372	31	9	339	378	438	246	8	2	116	177	218	6409	5089	14903	904	25	45	25	201	24	7	2120	0	719	0	14	7243	271	5400	322	0	5	1	9	565	21	1	605	781	4	5	22	11	136	2102	4440	0	1	1	18	0	0	62	588	5	9096	1728	146	1204	3737	1093	1393	3609	3000	101	2695	8	1	6	201	17	425	744	45	101	0	8	0	2	2	0	183	445	1	1953	3324	47	1060	26	2422	1972	481	721	25855	5	1038	391	265	336	6	93	14	700	7	1009	512	655	93	21	113	214	116	296	3590	1504	11	508	0	0	2118	0	9	2	4	14	4222	2	6	1112	10	4	15	2152	1277	165	1253	27	0	0	0	5	318	0	208	199	3866	79	1461	5062	133	379	0	5325	2792	736	376	1379	3457	983	5994	25	4200	347	33	5638	84	11	55	745	315	52	3439	5	210	772	770	3562	2888	1900	19	4	10385	0	16	0	29	3	0	0	3	0	0	0	3	5	0	1699	331	3	1476	250	0	41	0	468	11	0	5	11	7821	50	242	1139	2616	1163	2	5977	1240	721	9	597	3093	228	81	8388	1765	265	16	2462	1399	2573	1624	292	1875	15473	7	1314	368	2	64	143	1738	1872	54	2719	6007	545	589	212	189	0	0	5	18	35	76	5627	1	86	83	190	7	145	0	366	56	2	1517	1	7	20	633	458	26	2014	372	13952	7590	9	270	1352	16	7	10	15	82	153	677	0	39	1444	5394	6088	12	7	4783	9	4	2010	82	1632	731	659	2337	1022	138	571	251	61	143	2509	0	7146	18	1310	1178	1041	5	1243	939	1536	115	106	2117	6759	9	871	667	0	93	1	147	47	6	13	73652	0	7359	80	5817	39	29	30	236	10	352	317	58	501	262	177	67	1	34	175	82	2665	1045	5356	135	1566	8753	203	378	22	57	6	2058	74	0	340	0	7	11	10	45	7	0	496	2	465	1906	7	2688	322	186	297	16	456	2064	5	310	61	4	39	19	2	344	0	106	235	20	1045	44	514	83	2736	472	37507	35	698	0	4871	65	35	437	2650	335	12	12849	7277	6	9573	729	1023	12	413	479	165	2871	3810	1072	80	116	45	270	525	513	261	22	26	6	44	21	15	121	210	15	0	639	9	157	140	4901	5	9	3	18	12	922	7	642	291	63	18	136	109	63	6773	944	2610	49	495	1	4433	379	3	221	5	58	20	85	1	52	30	251	58	113	108	278	20	6	79	8	223	161	102	358	15	276	615	203	1	1	10	9	30	331	7940	3417	4562	0
SAMPLE8	14	2597	74	0	6	0	611	19	632	623	1820	820	152	512	1287	25	670	11	525	238	2489	653	535	504	9	415	113	459	749	368	153	3	14	105	1304	1321	0	755	1422	982	157	364	945	2	8	131	142775	0	19044	20	4026	346	6535	8	0	393	429	313	285	20	1	120	137	248	3952	4468	12260	717	12	41	12	171	15	12	1889	10	599	5	8	8343	291	4811	339	2	3	0	10	546	16	2	599	408	0	21	69	44	161	2063	3992	1	5	2	33	0	0	28	454	6	6344	1973	180	1065	5068	876	1893	4733	2527	109	2920	6	0	13	172	18	224	639	42	162	7	6	0	0	0	0	188	578	11	1124	3082	29	1061	7	1409	1740	478	550	76111	0	632	469	297	485	0	93	2	612	1	701	507	468	98	7	144	319	104	228	2912	789	2	292	17	5	1727	3	0	0	4	2	2630	8	12	1692	5	1	3	1276	1514	146	1006	17	0	0	0	10	302	13	87	232	5803	43	872	3599	107	299	0	4570	3655	411	469	1694	3553	1045	4560	10	3470	198	23	3578	117	5	56	683	289	32	2679	1	68	593	569	3371	3221	1543	13	15	11289	0	17	0	26	3	0	1	0	1	12	1	0	1	0	1916	278	3	1056	160	14	84	0	531	3	0	1	0	4700	18	183	1131	2468	884	6	5940	934	669	5	465	2894	246	61	7456	1192	195	0	1976	1247	1876	1209	460	1639	11989	0	1187	320	0	50	194	1653	1678	25	2332	4202	402	452	188	139	0	1	14	5	17	77	4031	0	128	89	286	2	151	0	387	18	2	1182	7	8	26	826	474	50	1600	484	11871	5080	0	358	1303	17	7	8	2	79	109	729	21	15	1582	4461	4715	8	0	4114	11	1	1913	38	2145	673	662	1932	824	78	454	270	29	125	1824	0	4796	13	897	1118	658	3	1147	773	1112	111	69	2012	5136	12	595	560	0	52	4	27	29	0	21	39763	0	5507	87	4418	26	43	3	185	0	318	270	32	533	260	165	94	2	29	176	52	2400	441	8486	57	1098	5614	199	453	28	36	18	1583	72	1	332	2	0	10	3	20	0	10	247	9	391	1210	31	1811	506	231	272	4	467	1879	3	229	56	0	28	14	5	347	0	108	142	13	1091	49	405	35	2357	514	34636	43	895	0	10448	44	48	261	2395	220	7	9420	6345	2	14990	472	927	3	354	427	100	2940	2857	1021	22	111	44	340	487	611	243	13	41	19	9	11	22	85	296	2	1	156	16	230	110	3541	15	34	0	0	3	714	1	755	300	55	32	161	85	140	4661	893	1749	81	488	4	6540	762	2	178	0	48	11	37	0	26	30	140	9	44	118	142	22	8	40	35	239	121	84	186	9	164	474	208	11	1	0	8	8	202	6775	2869	3704	1
